feature_set,feature,psi_2019_2022_vs_2023
with_era5,price_rolling_336h_std,9.60282897658768
without_era5,price_rolling_336h_std,9.60282897658768
without_era5,price_rolling_168h_std,8.477523007605997
with_era5,price_rolling_168h_std,8.477523007605997
with_era5,price_rolling_336h_mean,7.6216843328231265
without_era5,price_rolling_336h_mean,7.6216843328231265
with_era5,price_rolling_336h_max,7.4496250700039965
without_era5,price_rolling_336h_max,7.4496250700039965
without_era5,price_rolling_168h_max,6.59975118564148
with_era5,price_rolling_168h_max,6.59975118564148
without_era5,price_rolling_168h_mean,4.279142103638971
with_era5,price_rolling_168h_mean,4.279142103638971
without_era5,price_rolling_24h_mean,2.8825054486168113
with_era5,price_rolling_24h_mean,2.8825054486168113
without_era5,price_rolling_24h_max,2.7159684860892264
with_era5,price_rolling_24h_max,2.7159684860892264
with_era5,price_rolling_24h_std,2.4434175436678163
without_era5,price_rolling_24h_std,2.4434175436678163
with_era5,price_rolling_24h_min,2.0887691820294227
without_era5,price_rolling_24h_min,2.0887691820294227
with_era5,price_lag_336h,2.070696747190213
without_era5,price_lag_336h,2.070696747190213
with_era5,price_lag_168h,2.031122759016602
without_era5,price_lag_168h,2.031122759016602
with_era5,price_lag_24h,2.025297589583067
without_era5,price_lag_24h,2.025297589583067
with_era5,price_lag_48h,2.025152661076014
without_era5,price_lag_48h,2.025152661076014
with_era5,price_lag_72h,2.0244160949843075
without_era5,price_lag_72h,2.0244160949843075
with_era5,price_rolling_336h_min,0.4162370007753148
without_era5,price_rolling_336h_min,0.4162370007753148
with_era5,price_rolling_168h_min,0.4077714811051712
without_era5,price_rolling_168h_min,0.4077714811051712
without_era5,residual_load_forecast,0.204920522503333
with_era5,residual_load_forecast,0.204920522503333
without_era5,renewable_share_forecast,0.13742677885163027
with_era5,renewable_share_forecast,0.13742677885163027
without_era5,load_forecast,0.09987187254401297
with_era5,load_forecast,0.09987187254401297
with_era5,dewpoint_2m_mean,0.09897750344386783
