feature,mean_abs_shap
residual_load_forecast,17.6888970137472
price_lag_24h,8.184654515353163
price_rolling_336h_std,6.5797963074588495
price_lag_168h,5.743550572518674
price_rolling_336h_mean,5.607259458197151
renewable_share_forecast,5.446884450616937
wind_share_forecast,4.65452447553156
price_rolling_168h_max,3.6648430891733303
price_lag_72h,3.146772699493717
load_forecast,3.0710552099531583
price_rolling_24h_max,2.815911265283157
wind_total_forecast_day_ahead,2.6099771827698115
price_lag_336h,2.4598651139683527
weekday,2.3494713164234664
wind_onshore_forecast_day_ahead,2.154956129216353
price_lag_48h,2.129016572749891
price_rolling_336h_max,1.8509499895956074
price_rolling_168h_std,1.8109311497995244
wind_offshore_forecast_day_ahead,1.7944979785335486
dayofyear,1.7822420213121777
price_rolling_24h_std,1.5848491622928755
month,1.52464907215267
price_rolling_24h_mean,1.1939436415687805
price_rolling_168h_mean,1.0035901495828747
price_rolling_24h_min,0.81280575421464
price_rolling_168h_min,0.7239459742357334
pvgis_cologne_beam_irradiance,0.4927938094248357
cos_dayofyear,0.46567951509581645
is_weekend,0.412490366279245
pvgis_berlin_wind_speed_10m,0.3452253470711282
solar_share_forecast,0.3147175738790728
sin_dayofyear,0.26608788445161397
pvgis_beam_irradiance_min,0.22841892976272107
pvgis_cologne_wind_speed_10m,0.2140113179234588
pvgis_hamburg_temperature_2m,0.20763942570482644
pvgis_munich_temperature_2m,0.19380905454176536
pvgis_temperature_2m_min,0.18394059054056336
renewable_forecast_day_ahead,0.1791594574741084
wind_solar_forecast_day_ahead,0.15947547123152028
pvgis_sun_height_std,0.14113118780199083
pvgis_temperature_2m_max,0.11829210025507746
pvgis_frankfurt_wind_speed_10m,0.0991646653917263
cos_hour,0.09629033785818643
sin_hour,0.05294566519774996
pvgis_cologne_temperature_2m,0.047606190690068655
pvgis_beam_irradiance_mean,0.04744151601742429
pvgis_frankfurt_temperature_2m,0.04475900548527493
pvgis_hamburg_beam_irradiance,0.042099781143057555
price_rolling_336h_min,0.038772398336624735
pvgis_wind_speed_10m_mean,0.0365654712954986
pvgis_temperature_2m_std,0.035803760525582935
pvgis_munich_wind_speed_10m,0.033799595402005306
pvgis_munich_beam_irradiance,0.02992127218931308
pvgis_wind_speed_10m_min,0.02851827717210062
pvgis_temperature_2m_mean,0.02808187260283909
pvgis_frankfurt_diffuse_irradiance,0.02451596256774161
pvgis_berlin_temperature_2m,0.01894588134124315
pvgis_diffuse_irradiance_mean,0.005627493650813517
pvgis_berlin_reflected_irradiance,0.0
pvgis_cologne_reflected_irradiance,0.0
pvgis_cologne_diffuse_irradiance,0.0
pvgis_munich_diffuse_irradiance,0.0
pvgis_berlin_interpolated_flag,0.0
pvgis_hamburg_interpolated_flag,0.0
pvgis_berlin_sun_height,0.0
pvgis_hamburg_sun_height,0.0
pvgis_hamburg_wind_speed_10m,0.0
pvgis_cologne_sun_height,0.0
pvgis_hamburg_reflected_irradiance,0.0
pvgis_berlin_diffuse_irradiance,0.0
pvgis_hamburg_diffuse_irradiance,0.0
pvgis_frankfurt_interpolated_flag,0.0
pvgis_frankfurt_sun_height,0.0
pvgis_berlin_beam_irradiance,0.0
pvgis_frankfurt_reflected_irradiance,0.0
pvgis_frankfurt_beam_irradiance,0.0
pvgis_munich_reflected_irradiance,0.0
pvgis_reflected_irradiance_std,0.0
pvgis_munich_sun_height,0.0
pvgis_interpolated_flag_mean,0.0
pvgis_sun_height_min,0.0
pvgis_sun_height_max,0.0
solar_forecast_day_ahead,0.0
pvgis_reflected_irradiance_min,0.0
pvgis_reflected_irradiance_mean,0.0
pvgis_cologne_interpolated_flag,0.0
pvgis_diffuse_irradiance_std,0.0
pvgis_wind_speed_10m_max,0.0
pvgis_wind_speed_10m_std,0.0
pvgis_interpolated_flag_min,0.0
pvgis_sun_height_mean,0.0
pvgis_interpolated_flag_max,0.0
pvgis_interpolated_flag_std,0.0
hour,0.0
pvgis_diffuse_irradiance_max,0.0
pvgis_diffuse_irradiance_min,0.0
pvgis_beam_irradiance_std,0.0
is_summer_time,0.0
pvgis_beam_irradiance_max,0.0
pvgis_munich_interpolated_flag,0.0
pvgis_reflected_irradiance_max,0.0
